StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q4_1,Q5_1,Q6,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17_1,Q18_1,Q18_2,Q18_3,Q21,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q27_1,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q53,Q54_1,Q54_2,Q54_3,Q55
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select your year of birth,Text,Text,Text,What is your highest education level?,What is your field of study/work? - Selected Choice,What is your field of study/work? - Other: - Text,What is your current employment status?,"Compared to others in your country, how would you rate the financial situation of your household?","If you believe generative AI could cause harm, which types of harm seem most likely?
(Please select up to 3. If you don’t think it poses a risk, you may select “No danger.”)",Do you think today’s generative AI systems can be conscious?,"When you say “conscious” in the previous question, which meaning are you thinking of?",How often do you personally encounter mistakes when using generative AI (such as chatbots or image-generation tools)?,"When an AI makes a mistake, what do you think is usually going on? (Explain in 2-3 sentences).",How important is it to you to be able to tell whether something was created by AI or by a person?,How confident are you that you could tell whether something was created by AI or by a person?,"How familiar are you with generative AI tools? (e.g ChatGPT, Gemini etc.) - Rate your familiarity:",How familiar are you with the following AI technologies? - ChatGPT,How familiar are you with the following AI technologies? - DALL·E,How familiar are you with the following AI technologies? - Sora,How often do you use ChatGPT,"If you had to describe how Chatgpt works to a friend, what would you say?
(Explain in 2-3 sentences).","How do you think Chatgpt can give answers about so many topics? 
(Explain in 2-3 sentences).","If you had to describe how Chatgpt works to a friend, what would you say? (Explain in 2-3 sentences).","Do you think ChatGPT learns from your individual conversations? 

Please explain what you think it remembers (if anything). 
(Explain in 2-3 sentences).",Please indicate how much you agree or disagree with each statement: - ChatGPT mainly reuses information it has seen before.,Please indicate how much you agree or disagree with each statement: - ChatGPT can combine pieces of information in new ways.,Please indicate how much you agree or disagree with each statement: - ChatGPT can access up-to-date information from the internet when I ask.,Please indicate how much you agree or disagree with each statement: - ChatGPT stores my personal information for a long time.,Please indicate how much you agree or disagree with each statement: - ChatGPT changes how it works based on individual users.,Please indicate how much you agree or disagree with each statement: - ChatGPT follows rules it was trained on rather than thinking like a human.,Please indicate how much you agree or disagree with each statement: - ChatGPT is influenced by the culture or language of the person asking.,Please indicate how much you agree or disagree with each statement: - ChatGPT could produce harmful or biased information.,"Please indicate how much you agree or disagree with the following statement: - When I use ChatGPT for important tasks, I double-check the information from another source.","In your own words, how do you think DALL·E creates images from text descriptions? (Explain in 2-3 sentences).",Please indicate how much you agree or disagree with each statement: - DALL·E reuses parts of specific existing images.,Please indicate how much you agree or disagree with each statement: - DALL·E creates new combinations of things it has seen.,Please indicate how much you agree or disagree with each statement: - DALL·E can closely recreate particular artists’ styles.,Please indicate how much you agree or disagree with each statement: - DALL·E uses images taken from the internet without permission.,Please indicate how much you agree or disagree with each statement: - DALL·E is more like a tool people use than a creator by itself.,Please indicate how much you agree or disagree with each statement: - DALL·E stores copies of the images it creates.,Please indicate how much you agree or disagree with each statement: - DALL·E can create culturally biased or stereotypical images.,Please indicate how much you agree or disagree with each statement: - Sora can create videos very close to real recordings.,Please indicate how much you agree or disagree with each statement: - Sora mainly reuses patterns from videos it has seen before.,Please indicate how much you agree or disagree with each statement: - Sora makes it easier to create videos of people doing things they never did.,Please indicate how much you agree or disagree with each statement: - Sora can use online video footage of people without their knowledge.,Please indicate how much you agree or disagree with each statement: - Sora will make it harder for people to trust videos in general.,Did you find any questions confusing?,"Rank the questions from most understandable to least understandable - In your own words, how do you think ChatGPT generate their answers to questions?",Rank the questions from most understandable to least understandable - How do you think Chatgpt can give answers about so many topics?,"Rank the questions from most understandable to least understandable - If you had to describe how Chatgpt works to a friend, what would you say?",Rank the questions from most understandable to least understandable - Do you think ChatGPT learns from your individual conversations? Please explain what you think it remembers (if anything).,How long did the survey feel to you?,Rate the following aspects of our survey - How intuitive was the layout of the survey?,Rate the following aspects of our survey - How easy was the navigation of the survey?,Rate the following aspects of our survey - How interesting/captivating were the questions?,Please provide any suggestions for the improvement of our survey. (No more than 2-3 sentences).
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID30""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_7""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID50_TEXT""}"
2025-12-21 05:00:47,2025-12-21 05:10:44,IP Address,5.203.184.238,100,596,True,2025-12-21 05:10:44,R_8pXqFB7cX66AcJX,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Employed full-time,About the same,"Job loss or major changes to how work is done,Use in warfare or violent conflict, making conflicts more dangerous,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably not,"Having its own goals or intentions, not just following instructions",Often,"The prompt is not accurate enough to convey my meaning ",Moderately important,Moderately confident,5,98,20,10,Daily,,,"Its an AI tool that works better than google, helps in search results, gives instant ideas, helps fast production",In terms of memory it can understand my basic and constant needs like code production. I also believe it learns patterns that I share with multiple individuals,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,It contains trained data to understand the meaning of prompts then proceeds to create the image,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,No,4,1,2,3,just right,99,100,75,
2025-12-21 05:03:19,2025-12-21 05:12:56,IP Address,94.70.214.122,100,577,True,2025-12-21 05:12:57,R_2v9227IUHMCfvje,,,,,41.1441,24.882,anonymous,EN,2002,Greece,Greece,Greek,Bachelor’s degree,Health / medical,,Employed full-time,Better,"Spread of fake news, scams, or manipulation of public opinion,Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably yes,"Acting like a conscious being, even if it may not truly be conscious",I don’t use generative AI,,Extremely important,Moderately confident,0.5,6,2,5,Never,I dont know,It searches many websites in a matter of second,,,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Searches on the internet,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Some questions confused me,2,1,4,3,long,70,60,70,
2025-12-21 05:45:41,2025-12-21 05:55:26,IP Address,130.43.19.15,100,585,True,2025-12-21 05:55:27,R_8ePvKkNfIbp0Oqp,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,Greek,Some college or university (no degree yet),Health / medical,,Student,Better,"Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Having its own goals or intentions, not just following instructions",Rarely,"Not having good and trustworthy sources of information ",Very important,Moderately confident,4,100,0,50,Weekly,"A texting app that can answer almost any questions you ask with key words, with a high percentage of accuracy ",Access to databases and a well developed and trained software,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,"Combining images on the web that match the description of the user ",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,No,4,3,1,2,just right,100,100,100,
2025-12-21 05:49:10,2025-12-21 05:55:38,IP Address,62.74.17.231,100,387,True,2025-12-21 05:55:38,R_8FIgAeNuF6kl76k,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,Master’s degree,Other:,Shipping,Employed part-time,Better,"Spread of fake news, scams, or manipulation of public opinion,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Having inner experiences or feelings, like emotions or sensations",Often,"Doesn’t have enough information to provide right answer ",Very important,Moderately confident,5,100,75,75,Weekly,,,A tool that helps you in any situation you can imagine as an advisor,Yes especially if you use a prompt to help him memorise what you said,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Based on the data it already has and the information that is accessible. It is able to generate images,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,No,3,2,4,1,just right,100,100,100,It is very good for the topic
2025-12-21 06:13:14,2025-12-21 06:30:24,IP Address,5.203.171.146,100,1029,True,2025-12-21 06:30:24,R_8FEz6k0O0vMChoH,,,,,37.9842,23.7353,anonymous,EN,2002,Greece,Greece,English,High school diploma / Secondary education,Health / medical,,Student,Better,"Spread of fake news, scams, or manipulation of public opinion,Job loss or major changes to how work is done,Misuse in science, health, or biology, including unsafe or harmful applications",Probably not,"Acting like a conscious being, even if it may not truly be conscious",Very often,It does not understand the question,Extremely important,Slightly confident,5,100,0,4,Daily,,,You ask a question and it answers,Sometimes it remembers.But other times tou have to repeat again and again but I believe it keeps the most important personal info,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Loaded info.assemble two pictures re allocate the pixels,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,3,4,2,1,just right,100,100,100,For people not familiar with AI its going to be boring
2025-12-21 07:03:00,2025-12-21 07:09:35,IP Address,109.178.88.127,100,394,True,2025-12-21 07:09:36,R_2NyyFp5iULQZnvX,,,,,37.9667,23.7167,anonymous,EN,2002,Greece,Greece,Greek,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Student,About the same,"Spread of fake news, scams, or manipulation of public opinion,Misuse in science, health, or biology, including unsafe or harmful applications,Use in warfare or violent conflict, making conflicts more dangerous",Probably yes,"Having its own goals or intentions, not just following instructions",Sometimes,Hard to determine data,Very important,Moderately confident,3.5,100,40,87,Weekly,"You give it data and through libraries it gives you an answer ","It has libraries and uses them ",,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"And can analyse pictures online and then uses them to create a new one ",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,No,3,4,1,2,just right,100,100,100,
2025-12-22 09:50:37,2025-12-22 10:07:45,IP Address,31.61.181.171,100,1028,True,2025-12-22 10:07:46,R_8lbBdnel2cBgJH3,,,,,52.2509,21.0709,anonymous,EN,1999,Poland,Poland,English,Bachelor’s degree,"STEM (science, technology, engineering, mathematics)",,Employed part-time,Much better,"Job loss or major changes to how work is done,Use in warfare or violent conflict, making conflicts more dangerous,Loss of human control over important systems, where machines make decisions without enough human oversight",Probably not,Being aware of itself as an individual,Sometimes,"I think it does not have enough training data and it just hallucniates stuff for the sake of responding at all. ",Very important,Moderately confident,4,90,60,10,Daily,,,"You tell it what to do or what to search for and it replies you in a chat format. It takes your sentence, thinks about it for a while, and they does the job you asked it to do. ","I think it remembers some things I told him. For example I told him I don't like spiders and in some other converstation he brough it up. I also told him I'm from Poland and he seems to refer to this in other chats. ",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,"I really don't know. ",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Some questions confused me,1,4,2,3,long,90,85,60,
2025-12-22 10:20:25,2025-12-22 10:23:11,IP Address,31.61.181.171,100,165,True,2025-12-22 10:23:12,R_2NCZK7sIdGn2dhy,,,,,52.2509,21.0709,anonymous,EN,1943,Algeria,Honduras,Malagasy,High school diploma / Secondary education,Social sciences,,Employed part-time,About the same,"Misuse in science, health, or biology, including unsafe or harmful applications",Definitely yes,"Acting like a conscious being, even if it may not truly be conscious",Rarely,https://tud365-my.sharepoint.com/:o:/r/personal/jpartyka_tudelft_nl/_layouts/15/doc2.aspx?sourcedoc=%7B290c8356-59c9-4148-94e5-6873da2fede3%7D&action=editnew,Not at all important,Moderately confident,4,34,25,11,Weekly,,,trash submission,trash submission,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,trash submission,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Some questions confused me,1,2,4,3,just right,100,57,52,trash submission. did we get the timing?
